Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,VA Virginia,VA Buena Vista city 51530,9,Housing Choice Vouchers,3,,Buena Vista city,51530,57,92,53,100,5,13,2.4,126,299,737,12376,5206,4,42,28,18,8,25,2,68,26,96,70,6,49,91,53,38,86,30,-1,51,23,26,-1,13,11,-1,-1,87,-1,2,-1,2,0,33,92,98,125,53,34,13,4,21,10,80,,,,,,VA,,,87.0
2018-12-31,County,VA Virginia,VA Charlottesville city 51540,9,Housing Choice Vouchers,3,,Charlottesville city,51540,655,71,478,100,6,4,1.8,861,323,743,13328,7399,8,33,24,15,20,25,1,68,20,98,83,2,25,69,25,57,92,42,0,42,37,21,1,69,67,0,0,31,0,1,-1,1,0,44,133,92,103,42,28,30,29,20,38,48,,,,,,VA,,,31.0
2018-12-31,County,VA Virginia,VA Chesapeake city 51550,9,Housing Choice Vouchers,3,,Chesapeake city,51550,1788,77,1431,100,3,2,2.4,3403,444,837,16592,6977,8,25,21,14,32,42,2,52,26,89,66,2,45,90,45,30,76,24,0,55,23,22,1,93,91,0,0,7,0,1,0,1,0,65,112,95,192,8,46,46,42,18,60,54,,,,,,VA,,,7.0
2018-12-31,County,VA Virginia,VA Colonial Heights city 51570,9,Housing Choice Vouchers,3,,Colonial Heights city,51570,195,92,182,100,5,8,2.5,455,367,690,14257,5703,12,27,27,10,25,36,4,54,21,98,79,2,57,91,58,31,65,18,4,63,19,14,1,87,82,-1,1,13,2,3,-1,4,1,22,94,99,135,16,64,19,23,18,27,63,,,,,,VA,,,13.0
2018-12-31,County,VA Virginia,VA Covington city 51580,9,Housing Choice Vouchers,3,,Covington city,51580,31,88,27,100,4,15,2.2,59,319,383,12470,5707,8,40,28,8,16,15,-1,78,26,96,67,7,30,93,37,47,90,32,4,37,22,37,-1,41,41,-1,-1,59,-1,-1,-1,0,0,6,76,89,197,11,48,41,52,22,19,84,,,,,,VA,,,59.0
2018-12-31,County,VA Virginia,VA Danville city 51590,9,Housing Choice Vouchers,3,,Danville city,51590,973,96,921,99,6,13,2.5,2318,280,452,11541,4586,17,35,21,15,12,27,2,70,25,95,69,3,53,90,54,31,70,20,3,58,21,18,1,90,89,-1,0,10,0,0,-1,1,0,24,97,97,196,15,36,49,29,25,61,70,,,,,,VA,,,10.0
2018-12-31,County,VA Virginia,VA Emporia city 51595,9,Housing Choice Vouchers,3,,Emporia city,51595,52,92,48,100,5,15,3.0,142,322,737,12759,4313,10,24,24,19,24,44,2,42,25,88,60,2,67,96,67,24,33,16,-1,69,25,6,-1,98,98,-1,-1,2,-1,-1,-1,0,0,128,96,100,163,25,44,31,13,32,74,66,,,,,,VA,,,2.0
2018-12-31,County,VA Virginia,VA Fairfax city 51600,9,Housing Choice Vouchers,3,,Fairfax city,51600,40,108,48,100,6,-1,2.8,132,347,726,16857,6130,5,41,14,7,34,40,2,48,16,98,88,13,27,73,29,45,50,25,-1,38,46,17,2,73,54,-1,6,27,-1,13,-1,13,0,-1,584,50,151,13,46,42,25,8,40,52,,,,,,VA,,,27.0
2018-12-31,County,VA Virginia,VA Falls Church city 51610,9,Housing Choice Vouchers,3,,Falls Church city,51610,83,108,100,100,8,1,1.3,126,240,726,12983,10304,-1,57,20,8,15,15,-1,83,15,100,93,-1,5,67,5,58,43,42,-1,6,13,81,17,71,14,-1,44,29,-1,13,-1,13,1,-1,660,20,137,93,5,2,1,3,30,45,,,,,,VA,,,29.0
2018-12-31,County,VA Virginia,VA Franklin city 51620,9,Housing Choice Vouchers,3,,Franklin city,51620,263,77,205,100,5,10,2.3,464,428,548,13194,5829,6,33,29,17,16,25,0,72,27,96,64,7,36,91,41,44,60,27,0,38,23,39,3,96,94,0,-1,4,1,-1,-1,1,2,42,91,100,207,16,41,43,35,31,90,59,,,,,,VA,,,4.0
